Fan:  || temperature: 25 || time: 11/1/2019, 11:09:05 AM
Fan:  || temperature: 25 || time: 11/1/2019, 11:09:05 AM
Fan:  || temperature: 25 || time: 11/1/2019, 11:09:05 AM
Fan:  || temperature: 25 || time: 11/1/2019, 11:09:05 AM
Fan:  || temperature: 25 || time: 11/1/2019, 11:09:05 AM
Fan:  || temperature: 25 || time: 11/1/2019, 11:09:05 AM
Fan:  || temperature: 25 || time: 11/1/2019, 11:09:05 AM
Fan:  || temperature: 25 || time: 11/1/2019, 11:09:05 AM
Fan:  || temperature: 25 || time: 11/1/2019, 11:09:05 AM
Fan:  || temperature: 25 || time: 11/1/2019, 11:09:05 AM
Fan:  || temperature: 25 || time: 11/1/2019, 11:09:05 AM
Fan:  || temperature: 25 || time: 11/1/2019, 11:09:05 AM
Fan:  || temperature: 25 || time: 11/1/2019, 11:09:05 AM
Fan:  || temperature: 25 || time: 11/1/2019, 11:09:05 AM
Fan:  || temperature: 25 || time: 11/1/2019, 11:09:05 AM
Fan:  || temperature: 25 || time: 11/1/2019, 11:09:06 AM
Fan:  || temperature: 25 || time: 11/1/2019, 11:09:06 AM
Fan:  || temperature: 25 || time: 11/1/2019, 11:09:06 AM
Fan:  || temperature: 25 || time: 11/1/2019, 11:09:06 AM
Fan:  || temperature: 25 || time: 11/1/2019, 11:09:06 AM
Fan:  || temperature: 25 || time: 11/1/2019, 11:09:06 AM
Fan:  || temperature: 25 || time: 11/1/2019, 11:09:06 AM
Fan:  || temperature: 25 || time: 11/1/2019, 11:09:06 AM
Fan:  || temperature: 25 || time: 11/1/2019, 11:09:06 AM
Fan:  || temperature: 25 || time: 11/1/2019, 11:09:06 AM
Fan:  || temperature: 25 || time: 11/1/2019, 11:09:06 AM
Fan:  || temperature: 25 || time: 11/1/2019, 11:09:06 AM
Fan:  || temperature: 25 || time: 11/1/2019, 11:09:06 AM
Fan:  || temperature: 25 || time: 11/1/2019, 11:09:06 AM
Fan:  || temperature: 25 || time: 11/1/2019, 11:09:06 AM
Fan:  || temperature: 25 || time: 11/1/2019, 11:09:07 AM
Fan:  || temperature: 25 || time: 11/1/2019, 11:09:07 AM
Fan:  || temperature: 25 || time: 11/1/2019, 11:09:07 AM
Fan:  || temperature: 25 || time: 11/1/2019, 11:09:07 AM
Fan:  || temperature: 25 || time: 11/1/2019, 11:09:07 AM
Fan:  || temperature: 25 || time: 11/1/2019, 11:09:07 AM
Fan:  || temperature: 25 || time: 11/1/2019, 11:09:07 AM
Fan:  || temperature: 25 || time: 11/1/2019, 11:09:07 AM
Fan:  || temperature: 25 || time: 11/1/2019, 11:09:07 AM
